Player Name,Player ID,Season,Team,LG,W,L,ERA,G,GS,CG,SHO,HLD,SV,SVO,IP,H,R,ER,HR,NP,HB,BB,IBB,SO,AVG,WHIP,GO/AO
J P Feyereisen,656420,MLB Career,-,-,8,4,2.31,83,2,0,0,22,4,8,89.2,47,30,23,8,1481,1,43,0,85,.153,1.00,0.68
Caleb Ferguson,657571,MLB Career,-,-,18,9,3.43,201,14,0,0,40,5,13,207.1,185,93,79,24,3603,19,82,3,247,.235,1.29,1.02
Walker Buehler,621111,MLB Career,-,-,46,16,3.02,115,106,3,1,1,0,1,638.1,499,237,214,68,10001,22,162,4,690,.212,1.04,1.10
Yency Almonte,622075,MLB Career,-,-,7,6,4.51,196,0,0,0,31,2,12,207.1,187,116,104,27,3442,16,87,4,195,.240,1.32,1.05
Ken Waldichuk,686610,MLB Career,-,-,6,11,5.28,42,29,0,0,0,1,1,175.2,181,112,103,29,3139,13,81,1,165,.266,1.49,0.80
Freddy Tarnok,676206,MLB Career,-,-,1,1,4.70,6,1,0,0,0,0,0,15.1,12,8,8,4,297,0,11,0,15,.211,1.50,0.50
Devin Sweet,682967,MLB Career,-,-,1,0,10.38,7,0,0,0,0,0,0,8.2,10,10,10,4,166,2,6,0,6,.286,1.85,0.90
Jp Sears,676664,MLB Career,-,-,11,17,4.35,49,43,0,0,0,0,0,242.1,232,121,117,42,3946,18,76,3,212,.251,1.27,0.54
Francisco Perez,660906,MLB Career,-,-,1,2,5.91,31,1,0,0,0,0,1,32.0,36,22,21,2,635,1,20,1,26,.283,1.75,0.68
Sean Newcomb,656794,MLB Career,-,-,27,25,4.47,168,60,0,0,20,2,5,421.0,387,220,209,50,7738,17,228,9,431,.243,1.46,1.01
Kyle Muller,666205,MLB Career,-,-,4,10,6.64,33,24,0,0,0,0,1,126.0,151,93,93,20,2364,5,67,2,105,.300,1.73,0.84
Mason Miller,695243,MLB Career,-,-,0,3,3.78,10,6,0,0,1,0,0,33.1,24,15,14,2,609,3,16,0,38,.203,1.20,0.32
Luis Medina,665622,MLB Career,-,-,3,10,5.42,23,17,0,0,0,0,0,109.2,109,73,66,14,1945,8,57,2,106,.255,1.51,0.97
Adrian Martinez,661309,MLB Career,-,-,4,8,5.51,34,13,0,0,1,0,0,112.2,128,73,69,21,1958,8,38,1,100,.287,1.47,0.85
Michael Kelly,547184,MLB Career,-,-,1,0,3.48,18,0,0,0,0,0,0,20.2,16,9,8,1,336,1,10,0,20,.211,1.26,0.60
Dany Jimenez,666204,MLB Career,-,-,3,6,3.51,61,1,0,0,11,12,16,59.0,35,26,23,5,982,0,35,5,56,.168,1.19,0.61
Zach Jackson,667427,MLB Career,-,-,4,4,2.86,73,0,0,0,27,4,8,66.0,46,25,21,2,1259,2,43,3,90,.197,1.35,0.53
Hogan Harris,663687,MLB Career,-,-,3,6,7.14,14,6,0,0,0,0,0,63.0,67,51,50,10,1109,3,28,0,56,.269,1.51,0.87
Angel Felipe,665734,MLB Career,-,-,1,1,4.20,14,0,0,0,4,0,1,15.0,6,7,7,0,271,1,13,0,19,.120,1.27,1.50
Joey Estes,683155,MLB Career,-,-,0,1,7.20,2,2,0,0,0,0,0,10.0,12,9,8,4,165,3,2,1,7,.286,1.40,0.64
Lucas Erceg,668674,MLB Career,-,-,4,4,4.75,50,0,0,0,11,0,2,55.0,51,33,29,1,1053,6,36,1,68,.245,1.58,1.09
Joe Boyle,671212,MLB Career,-,-,2,0,1.69,3,3,0,0,0,0,0,16.0,8,4,3,1,240,0,5,0,15,.148,0.81,0.45
Paul Blackburn,621112,MLB Career,-,-,17,24,4.90,72,68,0,0,0,0,1,353.0,394,199,192,44,5969,14,111,3,270,.282,1.43,1.33
Osvaldo Bido,674370,MLB Career,-,-,2,5,5.86,16,9,0,0,0,0,0,50.2,55,35,33,4,940,8,21,0,48,.270,1.50,0.73
Victor Vodnik,680767,MLB Career,-,-,1,0,8.31,6,0,0,0,0,0,0,8.2,15,9,8,0,186,0,3,0,12,.366,2.08,1.80
Antonio Senzatela,622608,MLB Career,-,-,39,43,4.87,145,119,1,0,1,0,1,679.2,772,389,368,80,11165,27,209,8,451,.288,1.44,1.47
Connor Seabold,657756,MLB Career,-,-,1,11,8.12,33,19,0,0,0,0,0,108.2,154,102,98,25,1975,10,38,1,86,.333,1.77,0.63
Cal Quantrill,615698,MLB Career,-,-,35,23,3.83,132,94,0,0,4,1,2,570.2,555,265,243,67,9272,32,165,3,427,.254,1.26,0.92
Riley Pint,666207,MLB Career,-,-,0,0,27.00,1,0,0,0,0,0,0,0.1,1,1,1,0,20,0,3,0,0,.500,12.00,1.00
Nick Mears,683232,MLB Career,-,-,1,1,4.35,52,0,0,0,5,0,5,49.2,44,25,24,7,959,1,35,1,53,.232,1.59,0.67
German Marquez,608566,MLB Career,-,-,65,56,4.41,176,173,4,2,0,0,0,1016.0,1002,533,498,141,15904,32,302,13,983,.256,1.28,1.38
Justin Lawrence,664875,MLB Career,-,-,8,8,4.96,126,0,0,0,20,12,22,134.1,130,80,74,8,2272,8,77,5,143,.257,1.54,1.36
Peter Lambert,663567,MLB Career,-,-,6,14,6.47,46,32,0,0,0,0,0,182.1,224,135,131,38,3155,11,66,3,131,.303,1.59,1.11
