Player Name,Player ID,Season,Team,LG,G,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,OPS,GO/AO
Victor Robles,645302,2022,WSH,NL,132,366,42,82,114,10,2,6,33,17,0,104,15,4,.224,.273,.311,.584,0.89
Victor Robles,645302,2023,WSH,NL,36,107,15,32,39,5,1,0,8,11,0,18,8,1,.299,.385,.364,.749,1.35
Lane Thomas,657041,2019,STL,NL,34,38,6,12,26,0,1,4,12,4,0,8,1,1,.316,.409,.684,1.093,1.25
Lane Thomas,657041,2020,STL,NL,18,36,5,4,9,2,0,1,2,4,0,13,0,0,.111,.200,.250,.450,0.90
Lane Thomas,657041,2021,2 teams,-,77,226,35,53,93,15,2,7,28,37,1,63,6,3,.235,.341,.412,.753,1.06
Lane Thomas,657041,2021,STL,NL,32,48,2,5,6,1,0,0,1,10,1,17,2,1,.104,.259,.125,.384,1.00
Lane Thomas,657041,2021,WSH,NL,45,178,33,48,87,14,2,7,27,27,0,46,4,2,.270,.364,.489,.853,1.07
Lane Thomas,657041,2022,WSH,NL,146,498,62,120,201,26,2,17,52,41,0,132,8,4,.241,.301,.404,.705,0.95
Lane Thomas,657041,2023,WSH,NL,157,628,101,168,294,36,3,28,86,36,0,176,20,5,.268,.315,.468,.783,1.01
Jacob Young,696285,2023,WSH,NL,33,107,9,27,36,7,1,0,12,10,0,22,13,0,.252,.322,.336,.658,1.44
Joey Meneses,608841,2022,WSH,NL,56,222,33,72,125,14,0,13,34,15,2,52,1,0,.324,.367,.563,.930,1.56
Joey Meneses,608841,2023,WSH,NL,154,611,71,168,245,36,1,13,89,38,0,130,0,0,.275,.321,.401,.722,1.07
Yainer Diaz,673237,2022,HOU,AL,6,8,0,1,2,1,0,0,1,1,0,2,0,0,.125,.222,.250,.472,1.50
Yainer Diaz,673237,2023,HOU,AL,104,355,51,100,191,22,0,23,60,11,0,74,0,0,.282,.308,.538,.846,1.15
Cesar Salazar,663967,2023,HOU,AL,13,18,1,2,2,0,0,0,0,1,0,6,0,0,.111,.158,.111,.269,0.67
Jose Abreu,547989,2014,CWS,AL,145,556,80,176,323,35,2,36,107,51,15,131,3,1,.317,.383,.581,.964,1.46
Jose Abreu,547989,2015,CWS,AL,154,613,88,178,308,34,3,30,101,39,11,140,0,0,.290,.347,.502,.849,1.28
Jose Abreu,547989,2016,CWS,AL,159,624,67,183,292,32,1,25,100,47,7,125,0,2,.293,.353,.468,.821,1.04
Jose Abreu,547989,2017,CWS,AL,156,621,95,189,343,43,6,33,102,35,6,119,3,0,.304,.354,.552,.906,1.01
Jose Abreu,547989,2018,CWS,AL,128,499,68,132,236,36,1,22,78,37,7,109,2,0,.265,.325,.473,.798,0.98
Jose Abreu,547989,2019,CWS,AL,159,634,85,180,319,38,1,33,123,36,4,152,2,2,.284,.330,.503,.833,1.12
Jose Abreu,547989,2020,CWS,AL,60,240,43,76,148,15,0,19,60,18,1,59,0,0,.317,.370,.617,.987,1.36
Jose Abreu,547989,2021,CWS,AL,152,566,86,148,272,30,2,30,117,61,3,143,1,0,.261,.351,.481,.832,1.21
Jose Abreu,547989,2022,CWS,AL,157,601,85,183,268,40,0,15,75,62,2,110,0,0,.304,.378,.446,.824,1.21
Jose Abreu,547989,2023,HOU,AL,141,540,62,128,207,23,1,18,90,42,1,130,0,1,.237,.296,.383,.679,0.93
Jose Altuve,514888,2011,HOU,NL,57,221,26,61,79,10,1,2,12,5,0,29,7,3,.276,.297,.357,.654,1.40
Jose Altuve,514888,2012,HOU,NL,147,576,80,167,230,34,4,7,37,40,0,74,33,11,.290,.340,.399,.739,1.38
Jose Altuve,514888,2013,HOU,AL,152,626,64,177,227,31,2,5,52,32,5,85,35,13,.283,.316,.363,.679,1.24
Jose Altuve,514888,2014,HOU,AL,158,660,85,225,299,47,3,7,59,36,7,53,56,9,.341,.377,.453,.830,1.05
Jose Altuve,514888,2015,HOU,AL,154,638,86,200,293,40,4,15,66,33,8,67,38,13,.313,.353,.459,.812,0.91
Jose Altuve,514888,2016,HOU,AL,161,640,108,216,340,42,5,24,96,60,11,70,30,10,.338,.396,.531,.927,0.97
Jose Altuve,514888,2017,HOU,AL,153,590,112,204,323,39,4,24,81,58,3,84,32,6,.346,.410,.547,.957,1.09
Jose Altuve,514888,2018,HOU,AL,137,534,84,169,241,29,2,13,61,55,4,79,17,4,.316,.386,.451,.837,1.10
Jose Altuve,514888,2019,HOU,AL,124,500,89,149,275,27,3,31,74,41,0,82,6,5,.298,.353,.550,.903,1.29
Jose Altuve,514888,2020,HOU,AL,48,192,32,42,66,9,0,5,18,17,0,39,2,3,.219,.286,.344,.630,1.27
Jose Altuve,514888,2021,HOU,AL,146,601,117,167,294,32,1,31,83,66,3,91,5,3,.278,.350,.489,.839,0.82
Jose Altuve,514888,2022,HOU,AL,141,527,103,158,281,39,0,28,57,66,2,87,18,1,.300,.387,.533,.920,0.89
